Game_Id,Game_Date,Game_Day,Start_Time,Weather,Temperature
1,8/7/2016,Sunday,20:00,,
2,8/13/2016,Saturday,17:00,Sunny,79
3,8/11/2016,Thursday,19:30,Party Cloudy,94
4,8/12/2016,Friday,19:00,,73
5,8/11/2016,Thursday,19:00,"Partly Cloudy, Chance of Rain 80%",88
6,8/12/2016,Friday,19:00,Partly Cloudy,82
7,8/14/2016,Sunday,16:00,Sunny,84
8,8/13/2016,Saturday,19:00,T-Storms,84
9,8/11/2016,Thursday,19:30,Cloudy,94
10,8/12/2016,Friday,19:00,Mostly Cloudy,76
11,8/12/2016,Friday,19:30,Cloudy,86
12,8/11/2016,Thursday,19:30,"Hazy, hot and humid",84
13,8/12/2016,Friday,19:00,,
14,8/13/2016,Saturday,19:00,Cloudy,83
15,8/13/2016,Saturday,15:30,Sunny,87
16,8/11/2016,Thursday,19:00,Sunny,91
17,8/11/2016,Thursday,19:00,Indoor,
18,8/19/2016,Friday,18:00,Sunny,75
19,8/18/2016,Thursday,20:00,Sunny,79
20,8/20/2016,Saturday,19:00,Cloudy,74
21,8/20/2016,Saturday,14:00,Cloudy,80
22,8/18/2016,Thursday,20:00,Clear and warm,78
23,8/18/2016,Thursday,19:30,Controlled Climate,68
24,8/20/2016,Saturday,18:00,Sunny,71
25,8/19/2016,Friday,19:00,,72
26,8/18/2016,Thursday,19:00,Suny,83
27,8/20/2016,Saturday,19:00,Partly Cloudy,88
28,8/20/2016,Saturday,16:00,Chance of Showers,87
29,8/19/2016,Friday,19:30,Sunny,84
30,8/18/2016,Thursday,19:00,,83
31,8/18/2016,Thursday,19:00,Partly Cloudy,84
32,8/20/2016,Saturday,19:00,Mostly Clear. Gusting ot 14.,73
33,8/20/2016,Saturday,19:30,,94
34,8/27/2016,Saturday,17:00,Sunny,69
35,8/28/2016,Sunday,12:00,Indoors,72
36,8/28/2016,Sunday,15:00,Mostly cloudy,84
37,8/28/2016,Sunday,20:00,,85
38,8/26/2016,Friday,19:30,Sunny,86
39,8/25/2016,Thursday,19:00,Sunny,86
40,8/27/2016,Saturday,19:00,Partly Cloudy,89
41,8/26/2016,Friday,19:00,Sunny,64
42,8/27/2016,Saturday,12:00,Cloudy with Possible Stray Showers/Thundershowers,76
43,8/27/2016,Saturday,19:00,Mostly CLoudy,78
44,8/26/2016,Friday,19:30,Mostly Cloudy,88
45,8/27/2016,Saturday,19:30,Clear,84
46,8/27/2016,Saturday,19:00,Partly sunny,83
47,8/26/2016,Friday,19:00,Partly Cloudy,85
48,8/25/2016,Thursday,20:00,Partly Cloudy,85
49,8/26/2016,Friday,20:00,Cloudy,83
50,9/1/2016,Thursday,19:00,,
51,9/1/2016,Thursday,19:00,Indoors,
52,9/1/2016,Thursday,19:00,Cloudy,76
53,9/1/2016,Thursday,19:00,Cloudy,79
54,9/1/2016,Thursday,19:30,Cloudy,73
55,9/1/2016,Thursday,19:00,,71
56,9/1/2016,Thursday,19:00,Party Cloudy,63
57,9/1/2016,Thursday,19:00,Mostly Cloudy,88
58,8/31/2016,Wednesday,20:00,Rain,75
59,9/1/2016,Thursday,19:00,Partly Cloudy,92
60,9/1/2016,Thursday,19:30,Controlled Climate,68
61,9/1/2016,Thursday,20:00,Sunny,73
62,9/1/2016,Thursday,18:30,Indoor,
63,9/1/2016,Thursday,19:00,Sunny,77
64,9/1/2016,Thursday,19:00,,
65,9/1/2016,Thursday,19:30,Mostly Sunny,74
66,9/8/2016,Thursday,18:30,Sunny and Clear,85
67,9/11/2016,Sunday,13:00,,
68,9/11/2016,Sunday,13:00,Partly Cloudy,84
69,9/11/2016,Sunday,12:00,Sunny,84
70,9/11/2016,Sunday,13:00,,90
71,9/11/2016,Sunday,12:00,Sunny,74
72,9/11/2016,Sunday,12:00,Partly Cloudy,87
73,9/11/2016,Sunday,13:00,Clear,79
74,9/11/2016,Sunday,13:00,Partly CLoudy,85
75,9/11/2016,Sunday,12:00,Sunny,76
76,9/11/2016,Sunday,13:05,Sunny,61
77,9/11/2016,Sunday,15:25,,
78,9/11/2016,Sunday,16:25,Partly sunny,76
79,9/11/2016,Sunday,17:30,,
80,9/12/2016,Monday,19:10,Sunny,79
81,9/12/2016,Monday,19:20,Clear,66
82,9/15/2016,Thursday,20:25,Partly Cloudy,60
83,9/18/2016,Sunday,13:00,Sunny,82
84,9/18/2016,Sunday,13:00,,74
85,9/18/2016,Sunday,13:00,Controlled Climate,68
86,9/18/2016,Sunday,12:00,Partly Cloudy,91
87,9/18/2016,Sunday,13:00,"Cloudy, Humid, Chance of Rain",79
88,9/18/2016,Sunday,13:00,Mostly Cloudy,80
89,9/18/2016,Sunday,13:00,Cloudy,72
90,9/18/2016,Sunday,13:00,Sunny,81
91,9/18/2016,Sunday,13:05,,
92,9/18/2016,Sunday,13:05,Sunny,88
93,9/18/2016,Sunday,14:25,Sunny,85
94,9/18/2016,Sunday,13:25,Sunny,79
95,9/18/2016,Sunday,13:25,Sunny,82
96,9/18/2016,Sunday,19:30,Indoors,77
97,9/19/2016,Monday,19:30,Mostly Cloudy,84
98,9/22/2016,Thursday,20:25,Clear,68
99,9/25/2016,Sunday,13:00,Sunny,64
100,9/25/2016,Sunday,13:00,Partly Cloudy,80
101,9/25/2016,Sunday,13:00,Sunny,81
102,9/25/2016,Sunday,12:00,,72
103,9/25/2016,Sunday,13:00,,88
104,9/25/2016,Sunday,13:00,,86
105,9/25/2016,Sunday,13:00,Sunny,67
106,9/25/2016,Sunday,12:00,Sunny,89
107,9/25/2016,Sunday,13:05,Sunny,66
108,9/25/2016,Sunday,16:05,Cloudy,91
109,9/25/2016,Sunday,16:25,Cloudy,85
110,9/25/2016,Sunday,15:25,,65
111,9/25/2016,Sunday,16:25,Sunny,73
112,9/25/2016,Sunday,19:30,,
113,9/26/2016,Monday,19:30,Partly Cloudy,90
114,9/29/2016,Thursday,20:25,Mostly Cloudy,62
115,10/2/2016,Sunday,14:30,Sunny Intervals,59
116,10/2/2016,Sunday,13:00,,
117,10/2/2016,Sunday,13:00,Cloudy,65
118,10/2/2016,Sunday,12:00,Cloudy,62
119,10/2/2016,Sunday,12:00,Partly Cloudy,82
120,10/2/2016,Sunday,13:00,Cloudy,56
121,10/2/2016,Sunday,13:00,,61
122,10/2/2016,Sunday,13:00,Cloudy,67
123,10/2/2016,Sunday,16:05,Cloudy,88
124,10/2/2016,Sunday,13:25,,
125,10/2/2016,Sunday,13:25,Fair,74
126,10/2/2016,Sunday,13:25,Cloudy,68
127,10/2/2016,Sunday,20:30,Rain,59
128,10/3/2016,Monday,19:30,Indoors,
129,10/6/2016,Thursday,17:25,Clear,75
130,10/9/2016,Sunday,13:00,Partly Cloudy,62
131,10/9/2016,Sunday,13:00,Sunny,58
132,10/9/2016,Sunday,13:00,Controlled,68
133,10/9/2016,Sunday,13:00,Mostly Sunny,60
134,10/9/2016,Sunday,13:00,Partly Cloudy,88
135,10/9/2016,Sunday,12:00,Indoors,
136,10/9/2016,Sunday,13:00,Partly Cloudy,57
137,10/9/2016,Sunday,14:05,Mostly Cloudy,72
138,10/9/2016,Sunday,15:25,,
139,10/9/2016,Sunday,13:25,Sunny,91
140,10/9/2016,Sunday,13:25,Sunny Skies,75
141,10/9/2016,Sunday,19:30,,49
142,10/10/2016,Monday,20:30,Clear,66
143,10/13/2016,Thursday,17:25,Fair,70
144,10/16/2016,Sunday,13:00,Mostly cloudy,72
145,10/16/2016,Sunday,12:00,Cloudy,69
146,10/16/2016,Sunday,13:00,Controlled Climate,68
147,10/16/2016,Sunday,13:00,Partly Sunny,81
148,10/16/2016,Sunday,13:00,Sunny,66
149,10/16/2016,Sunday,12:00,Partly Cloudy,80
150,10/16/2016,Sunday,13:00,Partly Cloudy,66
151,10/16/2016,Sunday,12:00,Sunny,75
152,10/16/2016,Sunday,13:00,Sunny,69
153,10/16/2016,Sunday,13:05,Rain,61
154,10/16/2016,Sunday,15:25,,69
155,10/16/2016,Sunday,13:25,Rain,54
156,10/16/2016,Sunday,19:30,Clear,84
157,10/17/2016,Monday,17:30,,
158,10/20/2016,Thursday,19:25,,47
159,10/23/2016,Sunday,14:30,Sunny intervals,55
160,10/23/2016,Sunday,13:00,Sunny,65
161,10/23/2016,Sunday,13:00,Controlled Climate,68
162,10/23/2016,Sunday,13:00,,70
163,10/23/2016,Sunday,12:00,Sunny,68
164,10/23/2016,Sunday,13:00,Partly Sunny,81
165,10/23/2016,Sunday,13:00,,58
166,10/23/2016,Sunday,13:00,Clear,62
167,10/23/2016,Sunday,12:00,Sunny,68
168,10/23/2016,Sunday,16:05,,
169,10/23/2016,Sunday,13:05,Clear,68
170,10/23/2016,Sunday,16:25,Sunny,63
171,10/23/2016,Sunday,17:30,,
172,10/24/2016,Monday,18:30,Partly Cloudy,71
173,10/27/2016,Thursday,19:25,Clear,71
174,10/30/2016,Sunday,13:30,Cloudy,54
175,10/30/2016,Sunday,16:25,,
176,10/30/2016,Sunday,13:00,Rain,49
177,10/30/2016,Sunday,13:00,Rain,53
178,10/30/2016,Sunday,12:00,Mostly Sunny,80
179,10/30/2016,Sunday,13:00,Partly sunny,68
180,10/30/2016,Sunday,12:00,Sunny,80
181,10/30/2016,Sunday,13:00,Clear,86
182,10/30/2016,Sunday,14:05,Partly Cloudy,76
183,10/30/2016,Sunday,13:00,Sunny,85
184,10/30/2016,Sunday,19:30,Clear Skies,84
185,10/31/2016,Monday,19:30,Cloudy,58
186,11/3/2016,Thursday,20:25,Clear,76
187,11/6/2016,Sunday,13:00,Partly Cloudy,65
188,11/6/2016,Sunday,13:00,,58
189,11/6/2016,Sunday,12:00,,62
190,11/6/2016,Sunday,13:00,Cloudy,80
191,11/6/2016,Sunday,12:00,Indoors,
192,11/6/2016,Sunday,13:00,Partly Cloudy,56
193,11/6/2016,Sunday,13:05,Sunny,75
194,11/6/2016,Sunday,13:05,Mostly Sunny,70
195,11/6/2016,Sunday,15:25,,68
196,11/6/2016,Sunday,13:25,Partly Cloudy,76
197,11/6/2016,Sunday,17:30,Partly Cloudy,65
198,11/7/2016,Monday,17:30,Cloudy,61
199,11/10/2016,Thursday,20:25,Fair,54
200,11/13/2016,Sunday,13:00,Cloudy,45
201,11/13/2016,Sunday,13:00,,69
202,11/13/2016,Sunday,12:00,Partly Cloudy,62
203,11/13/2016,Sunday,13:00,,62
204,11/13/2016,Sunday,13:00,Sunny,58
205,11/13/2016,Sunday,13:00,Cloudy,81
206,11/13/2016,Sunday,12:00,Sunny,56
207,11/13/2016,Sunday,13:00,Sunny,58
208,11/13/2016,Sunday,13:05,Sunny,85
209,11/13/2016,Sunday,14:25,,
210,11/13/2016,Sunday,16:25,Sunny,56
211,11/13/2016,Sunday,20:30,Clear and cool,43
212,11/14/2016,Monday,20:30,Cloudy,56
213,11/17/2016,Thursday,20:25,Clear,63
214,11/20/2016,Sunday,13:00,Partly Cloudy,36
215,11/20/2016,Sunday,13:00,Cloudy,36
216,11/20/2016,Sunday,12:00,,
217,11/20/2016,Sunday,13:00,Controlled Climate,68
218,11/20/2016,Sunday,13:00,Partly Cloudy,34
219,11/20/2016,Sunday,12:00,Sunny,46
220,11/20/2016,Sunday,12:00,Indoors,
221,11/20/2016,Sunday,13:00,Mostly Cloudy,41
222,11/20/2016,Sunday,13:05,Rain,63
223,11/20/2016,Sunday,13:25,Cloudy with rain,64
224,11/20/2016,Sunday,13:25,Rain,54
225,11/20/2016,Sunday,20:30,Clear,38
226,11/21/2016,Monday,19:30,Clear,63
227,11/24/2016,Thursday,12:30,Controlled Climate,68
228,11/24/2016,Thursday,15:30,,
229,11/24/2016,Thursday,20:30,Cloudy,39
230,11/27/2016,Sunday,13:00,,
231,11/27/2016,Sunday,13:00,Sunny,50
232,11/27/2016,Sunday,13:00,Mostly cloudy,42
233,11/27/2016,Sunday,12:00,Cloudy,40
234,11/27/2016,Sunday,13:00,Sunny,48
235,11/27/2016,Sunday,12:00,Partly Cloudy,71
236,11/27/2016,Sunday,13:00,Partly Cloudy,79
237,11/27/2016,Sunday,12:00,Partly Cloudy,61
238,11/27/2016,Sunday,16:05,Cloudy,81
239,11/27/2016,Sunday,18:30,Mostly Cloudy,44
240,11/27/2016,Sunday,13:25,Partly Cloudy,59
241,11/27/2016,Sunday,16:25,Cloudy,47
242,11/28/2016,Monday,20:30,Cloudy,47
243,12/1/2016,Thursday,19:25,Indoors,
244,12/4/2016,Sunday,13:00,,
245,12/4/2016,Sunday,13:00,Partly Cloudy,47
246,12/4/2016,Sunday,12:00,"Snow Showers, 3 to 5 inches expected.",33
247,12/4/2016,Sunday,13:00,Cloudy,42
248,12/4/2016,Sunday,12:00,,32
249,12/4/2016,Sunday,13:00,,70
250,12/4/2016,Sunday,13:00,Sunny and cool,39
251,12/4/2016,Sunday,12:00,Cloudy,68
252,12/4/2016,Sunday,13:05,Partly Cloudy,59
253,12/4/2016,Sunday,14:25,,68
254,12/4/2016,Sunday,16:25,Cloudy,43
255,12/4/2016,Sunday,13:25,Sunny,72
256,12/4/2016,Sunday,17:30,Partly Cloudy,37
257,12/5/2016,Monday,20:30,Clear,45
258,12/8/2016,Thursday,19:25,Clear,21
259,12/11/2016,Sunday,13:00,Snow showers,27
260,12/11/2016,Sunday,13:00,Cloudy,37
261,12/11/2016,Sunday,13:00,Snow,28
262,12/11/2016,Sunday,13:00,Controlled Climate,68
263,12/11/2016,Sunday,13:00,Cloudy,34
264,12/11/2016,Sunday,13:00,,71
265,12/11/2016,Sunday,13:00,Cloudy,77
266,12/11/2016,Sunday,13:00,Cloudy,35
267,12/11/2016,Sunday,16:25,Cloudy,79
268,12/11/2016,Sunday,12:00,Sunny,50
269,12/11/2016,Sunday,13:05,Mostly Cloudy,54
270,12/11/2016,Sunday,15:25,,26
271,12/11/2016,Sunday,13:25,Cloudy,65
272,12/11/2016,Sunday,20:30,Cloudy,32
273,12/12/2016,Monday,20:30,Clear,31
274,12/15/2016,Thursday,17:25,Partly cloudy,36
275,12/17/2016,Saturday,20:25,Cloudy,35
276,12/18/2016,Sunday,13:00,Cloudy,62
277,12/18/2016,Sunday,13:00,Cloudy,26
278,12/18/2016,Sunday,12:00,Sunny,11
279,12/18/2016,Sunday,19:30,,
280,12/18/2016,Sunday,12:00,Cloudy,37
281,12/18/2016,Sunday,12:00,Sunny,1
282,12/18/2016,Sunday,12:00,Indoors,
283,12/18/2016,Sunday,13:00,Rain,55
284,12/18/2016,Sunday,14:05,Sunny,62
285,12/18/2016,Sunday,16:05,,
286,12/18/2016,Sunday,14:25,Sunny,18
287,12/18/2016,Sunday,13:25,Sunny,62
288,12/18/2016,Sunday,13:00,Cloudy,24
289,12/19/2016,Monday,20:30,Clear,32
290,12/22/2016,Thursday,20:25,Partly Cloudy,40
291,12/24/2016,Saturday,13:00,Cloudy,38
292,12/24/2016,Saturday,13:00,Cloudy,56
293,12/24/2016,Saturday,12:00,"Cloudy, steady temps",37
294,12/24/2016,Saturday,13:00,Cloudy,38
295,12/24/2016,Saturday,12:00,,37
296,12/24/2016,Saturday,13:00,,67
297,12/24/2016,Saturday,13:00,Rain,40
298,12/24/2016,Saturday,15:25,Mostly Cloudy,76
299,12/24/2016,Saturday,13:05,Sunny,50
300,12/24/2016,Saturday,13:25,Partly Cloudy,59
301,12/24/2016,Saturday,13:25,Partly Cloudy,39
302,12/24/2016,Saturday,19:25,Partly Cloudy,71
303,12/25/2016,Sunday,16:25,Partly Cloudy,41
304,12/25/2016,Sunday,19:30,"Cloudy, Rain",53
305,12/26/2016,Monday,19:30,,
306,1/1/2017,Sunday,16:25,,
307,1/1/2017,Sunday,13:00,Partly Cloudy,40
308,1/1/2017,Sunday,20:30,Controlled Climate,68
309,1/1/2017,Sunday,13:00,Sunny,39
310,1/1/2017,Sunday,13:00,,80
311,1/1/2017,Sunday,12:00,Indoor,
312,1/1/2017,Sunday,13:00,Sunny,42
313,1/1/2017,Sunday,13:00,Sunny,50
314,1/1/2017,Sunday,13:00,Sunny,41
315,1/1/2017,Sunday,13:00,Cloudy,81
316,1/1/2017,Sunday,12:00,Cloudy,52
317,1/1/2017,Sunday,16:25,Sunny,53
318,1/1/2017,Sunday,14:25,Mostly Cloudy,45
319,1/1/2017,Sunday,13:25,Sunny,59
320,1/1/2017,Sunday,13:25,Cloudy,59
321,1/1/2017,Sunday,13:25,Clear,54
322,1/7/2017,Saturday,15:35,Sunny,40
323,1/7/2017,Saturday,17:15,Cloudy,38
324,1/8/2017,Sunday,13:05,Partly Cloudy,17
325,1/8/2017,Sunday,15:40,,14
326,1/14/2017,Saturday,16:35,,
327,1/14/2017,Saturday,20:15,Cloudy and Cold,28
328,1/15/2017,Sunday,19:20,Cloudy with patches of fog,33
329,1/15/2017,Sunday,15:40,,
330,1/22/2017,Sunday,15:05,,
331,1/22/2017,Sunday,18:40,Cloudy,41
332,2/5/2017,Sunday,17:30,Partly Cloudy,76
333,1/29/2017,Sunday,20:00,Cloudy,54
334,8/3/2017,Thursday,20:00,Sunny,82
335,8/12/2017,Saturday,19:00,,75
